user_id,pre_28d,post
u0146,8.307,5.841
u0147,5.134,3.777
u0148,5.287,1.453
u0149,3.797,1.741
u0150,7.079,9.863
u0151,12.010,7.966
u0152,2.213,2.444
u0153,3.934,7.932
u0154,7.256,4.606
u0155,8.059,7.450
u0156,2.424,2.324
u0157,5.473,5.046
u0158,6.291,4.816
u0159,6.418,4.416
u0160,4.028,7.095
u0161,6.793,6.569
u0162,2.491,3.054
u0163,7.802,3.838
u0164,8.415,5.888
u0165,6.886,5.534
u0166,6.481,7.851
u0167,5.112,7.784
u0168,4.280,2.584
u0169,7.564,4.135
u0170,5.185,6.575
u0171,8.663,3.392
u0172,7.113,9.491
u0173,8.629,6.290
u0174,4.679,4.010
u0175,3.464,3.402
u0176,5.588,4.797
u0177,8.602,6.294
u0178,2.793,5.533
u0179,3.640,3.152
u0180,5.706,4.484
u0181,3.793,3.613
u0182,10.805,6.790
u0183,5.700,7.270
u0184,7.638,7.651
u0185,7.897,2.604
u0186,4.099,4.498
u0187,7.097,8.363
u0188,7.033,5.416
u0189,6.086,4.946
u0190,6.543,6.880
u0191,5.252,3.343
u0192,4.120,6.350
u0193,8.818,8.735
u0194,7.885,7.920
u0195,5.995,6.558
u0196,3.685,3.641
u0197,4.386,5.793
u0198,4.724,4.393
u0199,6.881,8.358
u0200,4.258,2.558
u0201,7.798,4.187
u0202,6.995,4.764
u0203,5.767,1.712
u0204,7.570,5.213
u0205,4.023,8.159
u0206,7.566,12.828
u0207,6.897,5.132
u0208,6.237,8.483
u0209,5.941,6.124
u0210,7.136,4.196
u0211,6.284,4.501
u0212,3.260,5.450
u0213,7.464,6.247
u0214,4.004,0.391
u0215,7.068,5.702
u0216,2.296,3.148
u0217,2.653,3.409
u0218,6.315,6.147
u0219,6.477,5.887
u0220,3.492,3.192
u0221,4.875,4.234
u0222,6.594,6.803
u0223,9.597,2.398
u0224,6.882,5.408
u0225,11.007,9.828
u0226,2.363,4.063
u0227,4.854,6.558
u0228,3.678,3.830
u0229,5.711,4.957
u0230,4.715,1.101
u0231,7.013,7.755
u0232,5.850,3.285
u0233,6.447,6.620
u0234,5.613,5.061
u0235,9.099,4.879
u0236,4.773,1.004
u0237,4.460,3.048
u0238,3.888,2.820
u0239,9.953,7.101
u0240,5.749,9.338
u0241,5.867,1.932
u0242,6.887,4.007
u0243,9.605,4.916
u0244,4.723,1.546
u0245,6.214,3.488
u0246,5.856,4.505
u0247,4.651,6.350
u0248,8.058,6.550
u0249,4.019,2.177
u0250,6.594,10.169
u0251,4.995,3.256
u0252,4.466,2.375
u0253,3.861,3.734
u0254,9.154,7.033
u0255,4.876,1.614
u0256,6.469,5.507
u0257,3.302,1.751
u0258,5.907,7.173
u0259,7.379,6.449
u0260,5.289,5.518
u0261,5.973,9.414
u0262,3.509,3.230
u0263,8.790,6.330
u0264,9.135,6.941
u0265,6.320,4.772
u0266,2.963,1.785
u0267,10.873,9.206
u0268,7.333,7.845
u0269,7.252,7.931
u0270,5.415,4.554
u0271,8.164,5.821
u0272,3.072,3.261
u0273,4.802,5.806
u0274,4.416,2.412
u0275,5.269,7.849
u0276,5.895,5.548
u0277,6.020,5.873
u0278,8.042,9.075
u0279,2.382,5.896
u0280,5.993,4.686
u0281,11.277,7.880
u0282,10.279,9.492
u0283,3.735,4.982
u0284,7.621,5.953
u0285,0.878,1.829
u0286,5.578,2.964
u0287,10.017,7.045
u0288,5.135,4.255
u0289,4.276,2.877
u0290,6.207,6.009
u0291,4.884,4.514
u0292,2.942,4.609
u0293,4.351,4.801
u0294,4.005,3.224
u0295,6.473,3.259
u0296,11.433,8.218
u0297,5.840,3.817
u0298,9.509,9.863
u0299,6.659,3.063
u0300,4.891,5.860
u0301,4.873,2.431
u0302,3.387,2.397
u0303,6.030,4.084
u0304,6.040,10.627
u0305,9.901,5.474
u0306,6.755,5.881
u0307,5.696,7.115
u0308,5.269,4.280
u0309,5.176,4.656
u0310,8.829,8.331
u0311,3.049,2.838
u0312,4.245,5.885
u0313,6.494,7.263
u0314,5.863,1.598
u0315,6.992,6.278
u0316,7.118,3.440
u0317,6.179,4.092
u0318,4.489,5.140
u0319,6.776,4.031
u0320,2.233,0.000
u0321,4.734,6.736
u0322,5.879,0.956
u0323,4.102,5.057
u0324,9.680,9.543
u0325,6.807,6.118
u0326,3.670,3.159
u0327,5.267,3.426
u0328,6.140,4.631
u0329,6.741,8.432
u0330,7.631,6.991
u0331,5.470,2.121
u0332,5.749,6.195
u0333,3.781,6.462
u0334,5.266,5.603
u0335,5.277,2.517
u0336,10.549,5.596
u0337,8.021,5.355
u0338,6.614,4.107
u0339,5.084,6.545
u0340,10.280,6.045
u0341,6.022,7.112
u0342,4.612,5.887
u0343,4.273,5.498
u0344,6.961,8.131
u0345,6.800,3.473
u0346,7.462,4.011
u0347,7.652,9.079
u0348,7.311,4.970
u0349,8.623,7.061
u0350,3.261,3.120
u0351,9.122,6.440
u0352,6.268,4.796
u0353,2.291,2.290
u0354,6.784,6.127
u0355,5.617,1.034
u0356,8.688,8.146
u0357,8.252,9.010
u0358,5.021,3.613
u0359,6.692,8.860
u0360,2.292,2.824
u0361,4.426,5.497
u0362,9.222,6.510
u0363,3.271,3.893
u0364,5.373,2.023
u0365,7.947,5.376
u0366,7.503,3.627
u0367,8.412,3.888
u0368,8.317,3.133
u0369,9.036,6.258
u0370,2.577,2.971
u0371,6.742,3.826
u0372,4.914,5.215
u0373,5.628,0.000
u0374,5.054,5.591
u0375,6.655,7.577
u0376,4.481,9.316
u0377,7.760,6.861
u0378,8.387,8.426
u0379,6.224,4.244
u0380,8.253,7.343
u0381,1.837,0.912
u0382,7.028,6.072
u0383,6.616,6.858
u0384,6.320,8.483
u0385,4.703,3.828
u0386,6.710,7.107
u0387,7.733,9.080
u0388,4.951,6.940
u0389,7.029,3.885
u0390,5.698,9.096
u0391,7.728,5.358
u0392,0.723,1.000
u0393,4.454,4.596
u0394,11.083,9.513
u0395,6.689,3.902
u0396,3.390,3.470
u0397,4.971,10.447
u0398,5.111,3.641
u0399,8.483,6.812
u0400,3.284,6.256
u0401,5.313,2.398
u0402,6.707,6.616
u0403,5.257,6.216
u0404,7.805,4.617
u0405,1.474,0.000
u0406,5.718,7.482
u0407,8.206,9.158
u0408,10.083,7.576
u0409,8.323,3.672
u0410,7.516,6.880
u0411,5.792,4.346
u0412,3.545,4.216
u0413,8.811,6.149
u0414,7.169,4.680
u0415,6.559,3.694
u0416,6.832,5.343
u0417,6.694,4.529
u0418,3.412,3.252
u0419,8.280,9.554
u0420,5.286,6.426
u0421,7.669,6.964
u0422,2.587,4.039
u0423,3.867,6.362
u0424,7.734,7.427
u0425,0.421,3.412
u0426,7.539,3.719
u0427,8.134,6.617
u0428,5.597,3.723
u0429,3.760,3.243
u0430,12.789,9.420
u0431,6.458,4.321
u0432,4.641,3.504
u0433,4.050,5.891
u0434,5.405,6.618
u0435,3.459,5.667
u0436,5.940,6.535
u0437,5.771,3.487
u0438,8.663,5.937
u0439,5.676,3.439
u0440,6.450,4.807
u0441,6.621,6.296
u0442,4.485,1.787
u0443,6.952,7.567
u0444,7.532,3.966
u0445,7.331,6.763
u0446,6.624,6.459
u0447,5.288,5.316
u0448,8.039,5.462
u0449,2.832,3.359
u0450,6.432,2.032
u0451,4.511,5.601
u0452,5.670,5.294
u0453,3.230,5.498
u0454,9.860,7.043
u0455,4.389,2.215
u0456,7.959,6.576
u0457,4.253,6.645
u0458,7.682,7.371
u0459,2.128,2.974
u0460,7.377,3.731
u0461,8.044,9.142
u0462,8.274,5.180
u0463,4.443,6.233
u0464,8.187,8.839
u0465,8.641,6.563
u0466,5.098,1.279
u0467,7.725,10.574
u0468,4.981,3.835
u0469,7.428,6.796
u0470,2.985,2.284
u0471,3.585,7.812
u0472,4.422,6.054
u0473,10.219,11.220
u0474,9.136,10.121
u0475,3.282,3.149
u0476,4.399,3.868
u0477,11.767,5.282
u0478,7.228,3.627
u0479,8.945,9.390
u0480,4.874,8.613
u0481,6.165,7.867
u0482,6.685,4.613
u0483,5.163,4.615
u0484,7.358,6.286
u0485,11.193,7.789
u0486,4.973,3.368
u0487,4.291,1.624
u0488,3.832,5.830
u0489,6.133,5.047
u0490,6.771,7.752
u0491,7.354,7.514
u0492,4.769,4.126
u0493,4.292,4.176
u0494,4.201,3.603
u0495,5.615,4.678
u0496,5.414,4.043
u0497,8.882,6.235
u0498,3.775,4.444
u0499,3.604,1.943
u0500,6.185,2.234
u0501,0.000,2.548
u0502,8.276,3.377
u0503,4.026,5.311
u0504,1.628,1.234
u0505,3.351,3.467
u0506,1.660,4.613
u0507,5.683,5.701
u0508,5.278,0.872
u0509,5.665,2.569
u0510,6.022,3.692
u0511,5.303,4.516
u0512,7.699,7.692
u0513,3.788,4.052
u0514,9.211,8.005
u0515,4.395,4.187
u0516,5.235,6.668
u0517,6.073,6.053
u0518,10.865,5.357
u0519,3.769,0.783
u0520,2.496,5.002
u0521,6.643,8.753
u0522,1.656,1.237
u0523,9.176,9.003
u0524,7.947,8.027
u0525,6.071,5.320
u0526,6.071,6.940
u0527,5.642,5.712
u0528,9.198,4.920
u0529,4.350,5.466
u0530,5.421,4.683
u0531,10.616,8.629
u0532,5.081,6.881
u0533,11.539,6.238
u0534,4.526,4.710
u0535,4.601,8.656
u0536,7.157,5.179
u0537,7.079,4.381
u0538,4.669,4.769
u0539,11.253,3.914
u0540,6.924,8.375
u0541,7.628,9.848
u0542,6.991,6.123
u0543,5.711,3.514
u0544,9.598,5.030
u0545,5.728,4.155
u0546,4.273,0.128
u0547,5.160,5.098
u0548,6.315,7.078
u0549,5.643,3.885
u0550,6.677,6.936
u0551,4.011,1.319
u0552,3.745,6.069
u0553,8.197,4.824
u0554,6.245,7.028
u0555,8.923,5.656
u0556,5.472,7.687
u0557,11.304,11.124
u0558,3.490,4.772
u0559,5.342,4.827
u0560,4.542,3.586
u0561,5.977,8.714
u0562,7.539,6.957
u0563,6.059,3.906
u0564,5.496,7.378
u0565,7.826,10.036
u0566,6.574,5.577
u0567,2.440,4.098
u0568,2.208,6.112
u0569,4.614,4.539
u0570,3.028,2.723
u0571,3.951,6.323
u0572,6.546,3.358
u0573,1.752,2.834
u0574,4.929,2.601
u0575,7.297,5.661
u0576,6.245,4.313
u0577,4.746,3.736
u0578,2.474,4.557
u0579,6.887,2.513
u0580,6.225,7.617
u0581,6.521,8.049
u0582,5.410,4.979
u0583,3.141,2.007
u0584,1.989,1.393
u0585,6.537,6.582
u0586,8.560,6.956
u0587,3.822,4.921
u0588,5.680,8.514
u0589,10.309,9.494
u0590,3.500,2.927
u0591,6.419,4.177
u0592,7.152,7.237
u0593,7.844,6.748
u0594,4.056,2.630
u0595,5.729,7.673
u0596,9.464,9.064
u0597,6.798,7.023
u0598,7.809,8.751
u0599,7.883,3.418
u0600,8.097,7.186
u0601,4.988,5.742
u0602,6.634,5.546
u0603,2.284,3.468
u0604,7.225,5.882
u0605,2.506,4.248
u0606,7.583,6.515
u0607,6.937,5.147
u0608,4.552,5.500
u0609,5.219,5.217
u0610,13.162,10.592
u0611,6.298,2.382
u0612,6.212,6.857
u0613,4.450,3.995
u0614,1.041,3.628
u0615,4.690,5.879
u0616,9.002,6.644
u0617,8.166,6.967
u0618,5.550,4.519
u0619,4.127,6.709
u0620,7.937,4.454
u0621,7.853,4.933
u0622,2.689,5.757
u0623,3.185,6.002
u0624,6.439,7.255
u0625,7.126,8.113
u0626,6.765,6.820
u0627,6.547,7.682
u0628,5.139,6.756
u0629,9.315,7.003
u0630,6.968,4.856
u0631,5.366,5.447
u0632,5.248,3.203
u0633,5.935,5.628
u0634,6.711,7.040
u0635,2.097,5.838
u0636,5.622,3.625
u0637,5.184,5.691
u0638,7.915,5.658
u0639,6.347,2.459
u0640,6.373,5.292
u0641,5.052,6.461
u0642,9.944,9.431
u0643,4.281,7.257
u0644,5.266,4.819
u0645,4.724,5.464
u0646,7.217,6.245
u0647,5.538,4.774
u0648,5.119,6.660
u0649,4.856,4.390
u0650,5.540,3.626
u0651,5.500,2.244
u0652,6.897,6.820
u0653,5.341,7.885
u0654,4.199,5.362
u0655,7.049,4.862
u0656,5.471,6.696
u0657,6.135,5.909
u0658,9.067,7.398
u0659,2.337,1.894
u0660,7.829,6.062
u0661,3.637,0.260
u0662,6.709,8.529
u0663,3.257,0.000
u0664,7.089,4.877
u0665,5.357,4.337
u0666,4.026,5.047
u0667,8.011,7.095
u0668,4.783,6.595
u0669,5.759,6.265
u0670,3.956,5.417
u0671,7.626,8.629
u0672,6.062,6.172
u0673,4.743,6.277
u0674,7.698,8.273
u0675,5.160,2.538
u0676,5.854,4.829
u0677,4.375,5.547
u0678,8.067,7.182
u0679,8.424,7.381
u0680,3.877,3.034
u0681,5.231,6.169
u0682,8.009,6.663
u0683,8.209,4.972
u0684,5.756,7.980
u0685,6.969,7.801
u0686,1.901,0.000
u0687,4.126,6.161
u0688,9.535,6.088
u0689,3.866,2.228
u0690,4.067,5.282
u0691,5.322,8.454
u0692,7.571,4.886
u0693,6.517,5.299
u0694,7.720,7.949
u0695,5.251,6.564
u0696,7.241,5.826
u0697,6.561,6.888
u0698,5.317,3.667
u0699,8.756,6.830
u0700,4.721,5.466
u0701,2.814,3.658
u0702,3.061,2.892
u0703,2.150,1.847
u0704,7.944,6.036
u0705,3.382,7.113
u0706,4.647,7.335
u0707,4.873,1.954
u0708,9.998,6.702
u0709,7.652,8.440
u0710,3.171,3.888
u0711,4.769,5.762
u0712,5.982,2.942
u0713,6.136,6.809
u0714,5.375,6.016
u0715,4.862,4.589
u0716,6.765,5.998
u0717,8.752,8.591
u0718,7.831,7.662
u0719,6.349,3.338
u0720,8.304,9.818
u0721,6.499,5.115
u0722,5.936,7.525
u0723,6.632,3.831
u0724,5.644,3.690
u0725,5.582,3.419
u0726,4.133,7.045
u0727,8.273,3.570
u0728,3.905,3.331
u0729,5.178,2.291
u0730,7.927,3.377
u0731,7.511,7.440
u0732,5.226,3.670
u0733,6.146,5.670
u0734,1.504,0.513
u0735,7.159,5.749
u0736,5.123,2.987
u0737,4.501,3.071
u0738,12.025,6.299
u0739,9.316,8.028
u0740,6.477,5.941
u0741,5.199,7.861
u0742,7.112,5.873
u0743,5.754,5.551
u0744,3.563,3.383
u0745,4.675,5.738
u0746,7.311,2.572
u0747,5.539,6.898
u0748,3.233,1.597
u0749,8.169,6.268
u0750,5.048,2.535
u0751,6.384,4.493
u0752,6.475,6.367
u0753,7.530,5.555
u0754,4.889,4.760
u0755,5.806,5.529
u0756,4.878,4.257
u0757,4.757,3.539
u0758,6.355,7.653
u0759,4.865,5.776
u0760,6.761,5.938
u0761,7.478,5.092
u0762,7.230,6.547
u0763,0.000,2.676
u0764,7.308,9.667
u0765,3.735,4.248
u0766,6.774,3.939
u0767,8.602,7.582
u0768,4.303,2.154
u0769,5.118,9.242
u0770,10.663,3.273
u0771,2.095,4.410
u0772,5.786,4.015
u0773,7.319,6.219
u0774,6.636,6.158
u0775,3.672,6.484
u0776,5.027,6.888
u0777,7.508,6.215
u0778,6.317,5.403
u0779,2.048,2.537
u0780,6.942,2.829
u0781,2.802,5.567
u0782,7.762,3.402
u0783,7.010,5.778
u0784,8.124,5.877
u0785,5.537,3.659
u0786,6.404,5.300
u0787,4.601,3.897
u0788,4.386,5.589
u0789,3.785,1.190
u0790,3.931,6.197
u0791,4.917,5.925
u0792,7.604,5.243
u0793,7.649,7.164
u0794,5.920,3.949
u0795,5.882,2.849
u0796,5.417,3.904
u0797,6.962,6.480
u0798,4.623,6.172
u0799,8.595,6.861
u0800,4.409,5.380
u0801,0.720,1.312
u0802,7.274,9.759
u0803,4.412,7.299
u0804,11.061,11.624
u0805,0.894,4.563
u0806,6.427,7.446
u0807,5.625,3.950
u0808,5.516,7.860
u0809,7.836,5.769
u0810,6.840,7.394
u0811,7.243,5.913
u0812,4.579,3.132
u0813,5.060,3.752
u0814,2.574,0.765
u0815,7.919,4.256
u0816,3.152,3.659
u0817,9.161,9.419
u0818,5.108,2.869
u0819,4.838,2.953
u0820,4.809,5.556
u0821,3.686,2.562
u0822,5.440,4.945
u0823,4.332,2.899
u0824,3.538,2.533
u0825,7.148,5.477
u0826,0.000,3.168
u0827,5.856,3.579
u0828,5.448,0.000
u0829,2.388,5.518
u0830,10.674,11.994
u0831,4.396,4.495
u0832,7.710,3.920
u0833,9.824,6.040
u0834,6.777,3.554
u0835,6.805,5.715
u0836,8.377,4.424
u0837,5.982,8.737
u0838,3.385,4.532
u0839,6.965,4.892
u0840,5.415,7.661
u0841,8.506,7.756
u0842,6.591,3.477
u0843,6.203,8.816
u0844,8.315,3.997
u0845,1.447,1.537
u0846,6.366,4.458
u0847,5.327,5.582
u0848,7.973,6.786
u0849,8.754,4.112
u0850,7.031,6.676
u0851,2.726,5.880
u0852,2.486,0.621
u0853,11.879,10.997
u0854,6.832,8.336
u0855,8.534,4.548
u0856,7.067,8.555
u0857,5.649,5.248
u0858,4.978,6.137
u0859,4.781,3.512
u0860,3.297,2.047
u0861,6.486,6.469
u0862,5.147,2.832
u0863,6.752,6.398
u0864,8.814,5.904
u0865,5.091,5.780
u0866,9.373,7.061
u0867,5.821,3.412
u0868,5.167,6.650
u0869,7.885,8.470
u0870,2.372,4.908
u0871,3.956,5.312
u0872,0.760,2.233
u0873,4.047,6.663
u0874,6.271,7.938
u0875,5.029,8.531
u0876,5.018,8.393
u0877,4.923,2.832
u0878,7.992,5.634
u0879,5.874,2.657
u0880,5.240,5.103
u0881,4.438,5.192
u0882,0.903,4.211
u0883,5.096,7.625
u0884,5.225,3.617
u0885,5.005,5.287
u0886,7.326,5.145
u0887,4.234,5.159
u0888,7.838,2.966
u0889,3.672,2.732
u0890,9.801,9.757
u0891,7.777,7.230
u0892,3.515,6.093
u0893,5.018,3.236
u0894,10.310,4.891
u0895,9.082,7.386
u0896,3.954,4.521
u0897,4.129,4.634
u0898,4.569,2.235
u0899,11.920,7.594
u0900,8.204,6.424
u0901,7.512,3.708
u0902,3.684,0.000
u0903,8.239,7.391
u0904,3.384,5.475
u0905,7.327,11.666
u0906,6.533,7.360
u0907,7.373,7.544
u0908,5.953,4.481
u0909,7.588,8.556
u0910,3.407,1.690
u0911,5.914,8.721
u0912,5.544,1.786
u0913,7.807,7.753
u0914,10.339,8.059
u0915,10.398,6.339
u0916,8.023,6.680
u0917,3.351,3.319
u0918,8.972,9.092
u0919,5.167,6.985
u0920,8.020,8.147
u0921,6.649,6.252
u0922,4.170,4.172
u0923,6.285,4.047
u0924,5.370,5.280
u0925,6.487,7.608
u0926,3.721,3.294
u0927,6.611,4.917
u0928,6.751,4.822
u0929,8.638,6.321
u0930,3.480,5.364
u0931,9.717,3.650
u0932,5.724,5.292
u0933,8.311,9.458
u0934,5.661,2.127
u0935,7.500,8.072
u0936,7.046,6.039
u0937,4.205,9.009
u0938,3.343,0.954
u0939,8.187,7.066
u0940,7.507,6.827
u0941,9.764,10.120
u0942,4.789,6.571
u0943,3.396,0.602
u0944,8.690,5.967
u0945,1.239,2.657
u0946,4.538,5.482
u0947,5.886,3.772
u0948,4.428,5.921
u0949,3.949,4.431
u0950,3.817,4.979
u0951,9.980,8.595
u0952,8.495,7.553
u0953,3.876,3.567
u0954,6.172,6.250
u0955,4.675,5.761
u0956,4.416,4.567
u0957,5.991,3.099
u0958,8.244,6.643
u0959,6.256,5.393
u0960,1.337,0.058
u0961,4.027,6.132
u0962,4.735,5.784
u0963,3.729,2.445
u0964,4.973,6.780
u0965,2.336,2.962
u0966,6.918,6.079
u0967,5.978,6.796
u0968,6.655,3.742
u0969,7.423,4.598
u0970,5.260,7.689
u0971,11.440,11.089
u0972,6.962,4.352
u0973,4.328,7.585
u0974,6.752,3.068
u0975,9.501,8.352
u0976,8.941,7.707
u0977,1.230,1.278
u0978,5.699,4.825
u0979,9.369,5.879
u0980,5.796,5.091
u0981,5.812,3.225
u0982,3.300,0.000
u0983,6.752,5.339
u0984,6.465,3.548
u0985,6.021,3.461
u0986,3.769,4.730
u0987,7.425,7.210
u0988,5.919,4.527
u0989,9.113,9.408
u0990,4.607,2.463
u0991,6.836,6.383
u0992,3.989,8.575
u0993,1.379,1.172
u0994,6.550,7.511
u0995,1.903,2.224
u0996,9.197,9.763
u0997,5.453,5.082
u0998,4.051,4.995
u0999,3.690,0.152
u1000,2.638,3.567
u1001,3.087,5.833
u1002,8.860,8.794
u1003,7.463,8.288
u1004,6.601,7.304
u1005,7.052,7.389
u1006,3.762,2.819
u1007,3.801,5.691
u1008,7.135,4.428
u1009,3.823,3.010
u1010,7.947,6.165
u1011,5.479,3.703
u1012,5.748,8.230
u1013,4.489,3.804
u1014,9.777,8.769
u1015,3.490,6.018
u1016,3.218,4.851
u1017,0.415,0.335
u1018,8.046,5.298
u1019,4.410,4.539
u1020,6.020,4.428
u1021,4.516,7.938
u1022,9.324,7.771
u1023,3.465,2.908
u1024,5.371,5.899
u1025,9.565,6.278
u1026,6.342,4.679
u1027,6.328,4.177
u1028,6.853,8.002
u1029,5.139,4.213
u1030,6.272,2.949
u1031,10.029,4.967
u1032,5.221,3.194
u1033,9.339,6.220
u1034,4.896,8.321
u1035,5.750,3.688
u1036,6.002,5.686
u1037,4.363,4.063
u1038,5.551,6.451
u1039,7.716,7.854
u1040,5.745,6.700
u1041,5.547,7.284
u1042,6.912,5.002
u1043,8.746,3.929
u1044,3.870,2.618
u1045,5.726,2.811
u1046,3.354,0.246
u1047,6.269,3.993
u1048,10.870,9.473
u1049,3.483,6.455
u1050,6.251,7.513
u1051,3.558,6.189
u1052,8.449,5.865
u1053,4.135,3.565
u1054,6.601,10.250
u1055,10.021,10.394
u1056,5.532,4.431
u1057,6.832,5.247
u1058,4.982,4.356
u1059,7.888,6.224
u1060,6.544,5.112
u1061,5.586,4.456
u1062,8.812,7.305
u1063,9.325,6.817
u1064,8.370,3.976
u1065,5.126,4.718
u1066,4.615,4.333
u1067,3.971,3.888
u1068,4.541,4.505
u1069,5.363,3.053
u1070,5.113,4.880
u1071,3.200,3.959
u1072,8.783,6.412
u1073,7.230,7.180
u1074,4.246,6.874
u1075,11.572,6.420
u1076,10.766,6.582
u1077,9.244,3.638
u1078,8.531,6.971
u1079,3.181,2.191
u1080,3.697,2.330
u1081,6.854,5.441
u1082,0.470,1.678
u1083,7.050,6.061
u1084,9.756,3.870
u1085,6.554,5.678
u1086,7.614,3.643
u1087,3.124,3.408
u1088,6.185,1.955
u1089,6.825,5.757
u1090,7.641,1.228
u1091,7.126,4.236
u1092,4.961,6.234
u1093,9.756,7.672
u1094,5.775,7.691
u1095,4.038,3.940
u1096,4.898,2.830
u1097,6.445,9.453
u1098,6.564,6.578
u1099,5.946,7.439
u1100,6.416,3.857
u1101,6.237,8.192
u1102,5.828,7.512
u1103,5.861,9.111
u1104,6.640,6.918
u1105,5.375,6.567
u1106,5.514,2.219
u1107,6.687,3.385
u1108,9.290,8.638
u1109,6.054,6.661
u1110,0.279,5.102
u1111,4.579,5.813
u1112,11.688,5.354
u1113,5.099,5.472
u1114,6.946,2.605
u1115,3.954,7.032
u1116,4.685,5.650
u1117,2.985,1.913
u1118,1.983,3.621
u1119,8.577,6.911
u1120,5.410,5.452
u1121,7.052,5.338
u1122,7.243,9.731
u1123,10.938,6.935
u1124,3.225,7.452
u1125,8.191,8.844
u1126,7.356,5.629
u1127,8.180,8.653
u1128,8.621,4.683
u1129,8.297,5.909
u1130,5.226,5.566
u1131,5.251,9.333
u1132,7.266,6.525
u1133,5.598,5.573
u1134,5.510,6.162
u1135,7.930,7.982
u1136,3.242,3.166
u1137,6.207,3.097
u1138,6.857,5.516
u1139,6.149,6.130
u1140,4.643,7.546
u1141,8.315,5.542
u1142,7.052,7.318
u1143,4.330,3.720
u1144,7.567,1.250
u1145,3.104,4.354
u1146,7.396,4.318
u1147,7.920,10.607
u1148,6.485,5.508
u1149,6.177,3.482
u1150,7.243,6.346
u1151,7.670,8.966
u1152,6.105,5.725
u1153,6.745,9.053
u1154,2.800,3.554
u1155,4.637,4.813
u1156,7.866,6.480
u1157,7.652,6.589
u1158,4.449,3.208
u1159,2.968,4.082
u1160,5.155,6.463
u1161,8.163,4.819
u1162,3.623,5.173
u1163,4.083,4.667
